subject activity mean
1 WALKING -0.463716542749936
2 WALKING -0.486713996139449
3 WALKING -0.513305700948802
4 WALKING -0.538638258125356
4 WALKING_UPSTAIRS -0.482629098938799
5 WALKING -0.486744619244046
6 WALKING -0.52758054058207
6 WALKING_UPSTAIRS -0.300139935100157
7 WALKING_UPSTAIRS -0.489057862500484
8 WALKING_UPSTAIRS -0.467970825052308
9 WALKING_UPSTAIRS -0.502495097191743
10 WALKING_DOWNSTAIRS -0.446384145618852
10 WALKING_UPSTAIRS -0.636665931715145
11 WALKING_UPSTAIRS -0.524889013946856
12 SITTING -0.485469051604362
12 WALKING_DOWNSTAIRS -0.524380336664567
13 SITTING -0.495520215294449
14 WALKING_DOWNSTAIRS -0.414840654479157
14 WALKING_UPSTAIRS -0.6420309444025
15 WALKING_DOWNSTAIRS -0.517068292901229
16 WALKING_DOWNSTAIRS -0.545471854544871
17 SITTING -0.515581261494864
17 WALKING_DOWNSTAIRS -0.643629332091835
18 SITTING -0.644467747062897
18 STANDING -0.546824176170003
19 SITTING -0.483419110756989
20 LAYING -0.464456805624789
20 STANDING -0.507415840435035
21 SITTING -0.531074045846152
22 SITTING -0.530221146942336
22 STANDING -0.452776482820135
23 STANDING -0.475827255097812
24 LAYING -0.532915921247308
25 STANDING -0.546032397931626
26 STANDING -0.53156690682358
27 LAYING -0.507026068521574
27 STANDING -0.648609709656811
28 LAYING -0.528449504034801
29 LAYING -0.515399693128953
30 LAYING -0.515229704083787
